parent_name,utility_name,respondent_id,year,percent_AMI,ownership,housing_units,income
Southern Co.,Alabama Power Co.,2.0,2006,100%+,owner,478691.807558176,43738373203.93207
Southern Co.,Alabama Power Co.,2.0,2006,100%+,renter,102290.16970078532,6847197747.475168
Southern Co.,Alabama Power Co.,2.0,2006,30-60%,owner,99580.22264617594,1831586533.3713036
Southern Co.,Alabama Power Co.,2.0,2006,30-60%,renter,75874.98961081017,1365713864.8915231
Southern Co.,Alabama Power Co.,2.0,2006,60-80%,owner,79660.59632586583,2277585574.775971
Southern Co.,Alabama Power Co.,2.0,2006,60-80%,renter,43825.65454946802,1227738590.4525328
Southern Co.,Alabama Power Co.,2.0,2006,80-100%,owner,76971.30677995608,2855636866.6267695
Southern Co.,Alabama Power Co.,2.0,2006,80-100%,renter,32342.608156491267,1168092499.259939
Southern Co.,Alabama Power Co.,2.0,2005,0-30%,owner,83694.75684834707,649844293.8519604
Southern Co.,Alabama Power Co.,2.0,2005,0-30%,renter,114662.29688333403,850658125.1066471
Southern Co.,Alabama Power Co.,2.0,2005,100%+,owner,473907.2918004305,41722771757.84909
Southern Co.,Alabama Power Co.,2.0,2005,100%+,renter,101267.78134763517,6547768078.168334
Southern Co.,Alabama Power Co.,2.0,2005,30-60%,owner,98584.92016368563,1751380915.9337947
Southern Co.,Alabama Power Co.,2.0,2005,30-60%,renter,75116.62049381295,1307728114.5275142
Southern Co.,Alabama Power Co.,2.0,2005,60-80%,owner,78864.39013980908,2176414208.529073
Southern Co.,Alabama Power Co.,2.0,2005,60-80%,renter,43387.61794329536,1174120743.128457
Southern Co.,Alabama Power Co.,2.0,2005,80-100%,owner,76201.979993142,2729272347.179206
Southern Co.,Alabama Power Co.,2.0,2005,80-100%,renter,32019.344386508084,1117093049.449411
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,0-30%,owner,339.604218421986,5218965.506652586
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,0-30%,renter,846.8738100769818,12296420.72217808
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,100%+,owner,7622.168629215254,1217018626.943661
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,100%+,renter,1856.1363398592086,213191100.26913166
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,30-60%,owner,682.0551996047803,30656152.345820412
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,30-60%,renter,858.7761256196889,35131774.53174014
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,60-80%,owner,624.558018906232,38281197.88359095
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,60-80%,renter,519.8457974966827,30026746.779225376
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,80-100%,owner,1041.3357574270547,76792647.79496582
Avista Corp.,Alaska Electric Light & Power Co.,3.0,2020,80-100%,renter,509.64610337213014,35600919.31031229
